id,name_zh,alias_group,group,type,subtype,mp_cost,buy_cost,range_min,range_max,damage,block_value,hp_gain,mp_gain,draw_count,move_min,move_max,stock,persist_until_triggered,keywords,target_rule,description_template,enabled
basic_punch_1,翻鯉逆流拳,基本拳,basic,attack,punch,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_palm_1,九嶺雷霆掌,基本掌,basic,attack,palm,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_weapon_1,斷岳重刀,基本武器,basic,attack,weapon,1,,2,2,1,0,0,0,0,0,0,,false,"basic,ranged","single","對敵人造成1點傷害，距離2。",true
basic_punch_2,絕塵八衝拳,基本拳,basic,attack,punch,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_palm_2,煙霞化影掌,基本掌,basic,attack,palm,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_weapon_2,雲鴻刺針,基本武器,basic,attack,weapon,1,,2,2,1,0,0,0,0,0,0,,false,"basic,ranged","single","對敵人造成1點傷害，距離2。",true
basic_punch_3,血鳳雙環拳,基本拳,basic,attack,punch,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_palm_3,凝霜鎖骨掌,基本掌,basic,attack,palm,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_weapon_3,流光雙匕,基本武器,basic,attack,weapon,1,,2,2,1,0,0,0,0,0,0,,false,"basic,ranged","single","對敵人造成1點傷害，距離2。",true
basic_punch_4,催心破顏拳,基本拳,basic,attack,punch,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_palm_4,鎮海回潮掌,基本掌,basic,attack,palm,1,,1,1,2,0,0,0,0,0,0,,false,"basic,melee","single","對敵人造成2點傷害，距離1。",true
basic_weapon_4,赤焰狼牙棒,基本武器,basic,attack,weapon,1,,2,2,1,0,0,0,0,0,0,,false,"basic,ranged","single","對敵人造成1點傷害，距離2。",true
basic_guard_1,金鐘護體功,基本防禦,basic,defense,any,1,,1,2,0,2,0,0,0,0,0,,true,"basic,guard","self","成功防禦上一張咭牌的攻擊，距離1–2。",true
basic_guard_2,玄甲回天術,基本防禦,basic,defense,any,1,,1,2,0,2,0,0,0,0,0,,true,"basic,guard","self","成功防禦上一張咭牌的攻擊，距離1–2。",true
basic_guard_3,回風護勢訣,基本防禦,basic,defense,any,1,,1,2,0,2,0,0,0,0,0,,true,"basic,guard","self","成功防禦上一張咭牌的攻擊，距離1–2。",true
basic_guard_4,百鍊護身罡,基本防禦,basic,defense,any,1,,1,2,0,2,0,0,0,0,0,,true,"basic,guard","self","成功防禦上一張咭牌的攻擊，距離1–2。",true
basic_move_1,凌雲踏月,基本移動,basic,move,step,1,,1,1,0,0,0,0,0,1,1,,false,"basic,move","self","本回合移動1格距離。",true
basic_move_2,雲步無痕,基本移動,basic,move,step,1,,1,1,0,0,0,0,0,1,1,,false,"basic,move","self","本回合移動1格距離。",true
basic_move_3,流星趕月,基本移動,basic,move,step,1,,1,1,0,0,0,0,0,1,1,,false,"basic,move","self","本回合移動1格距離。",true
basic_move_4,煙霞縱躍,基本移動,basic,move,step,1,,1,1,0,0,0,0,0,1,1,,false,"basic,move","self","本回合移動1格距離。",true
basic_buy,學習武功,基本購買,basic,buy,shop,0,,0,0,0,0,0,0,0,0,0,,false,"basic,buy","shop","按購買費用扣減MP，使用後回到手上。",true
shop_adv_punch_1,天罡碎雲拳,進階拳A,shop,attack,advanced_punch,2,2,1,1,3,0,0,0,0,0,0,1,false,"shop,advanced","single","對敵人造成3點傷害，距離1。",true
shop_adv_punch_2,孤月破影拳,進階拳A,shop,attack,advanced_punch,2,2,1,1,3,0,0,0,0,0,0,1,false,"shop,advanced","single","對敵人造成3點傷害，距離1。",true
shop_adv_palm_1,寒玉凝霜掌,進階掌A,shop,attack,advanced_palm,2,2,1,1,3,0,0,0,0,0,0,1,false,"shop,advanced","single","對敵人造成3點傷害，距離1。",true
shop_adv_palm_2,焚心離火掌,進階掌A,shop,attack,advanced_palm,2,2,1,1,3,0,0,0,0,0,0,1,false,"shop,advanced","single","對敵人造成3點傷害，距離1。",true
shop_adv_weapon_1,天衡弓箭,進階武器A,shop,attack,advanced_weapon,3,3,2,2,2,0,0,0,0,0,0,1,false,"shop,advanced","single","對敵人造成2點傷害，距離2。",true
shop_adv_weapon_2,幽冥重錘,進階武器A,shop,attack,advanced_weapon,3,3,2,2,2,0,0,0,0,0,0,1,false,"shop,advanced","single","對敵人造成2點傷害，距離2。",true
